Rk,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,Awards,-9999
294,Chris Boucher,32,TOR,PF,50,0,862,.492,.633,.363,.586,.782,.615,.235,.522,105,116,101,108,100,107,97,124,32.1,31.5,,bouchch01
295,Zion Williamson,24,NOP,PF,30,30,857,.567,.576,.231,.570,.656,.600,.474,.026,121,106,64,105,84,104,195,6,27.2,29.4,,willizi01
296,Khris Middleton,33,2TM,SF,37,21,843,.475,.549,.361,.546,.857,.588,.249,.395,102,101,100,101,110,102,103,94,1.9,9.0,,middlkh01
296,Khris Middleton,33,MIL,SF,23,7,534,.512,.584,.407,.595,.848,.627,.218,.408,110,107,113,110,109,109,90,97,21.8,23.5,,middlkh01
296,Khris Middleton,33,WAS,SF,14,14,309,.413,.494,.277,.464,.868,.526,.302,.373,88,91,77,85,111,91,124,89,-19.9,-14.5,,middlkh01
297,KJ Simpson,22,CHO,PG,36,15,842,.346,.415,.254,.400,.820,.437,.166,.432,74,76,70,74,105,76,68,103,-85.9,-90.2,,simpskj01
298,Shake Milton,28,2TM,SG,57,2,837,.453,.520,.358,.528,.797,.563,.232,.417,97,95,100,97,102,98,96,99,-7.9,-7.7,,miltosh01
298,Shake Milton,28,BRK,SG,27,1,492,.465,.529,.389,.554,.758,.580,.210,.459,100,97,108,102,97,101,87,109,3.5,1.3,,miltosh01
298,Shake Milton,28,LAL,SG,30,1,345,.433,.508,.294,.485,.846,.535,.268,.351,93,93,82,89,109,93,110,83,-11.4,-9.0,,miltosh01
299,Dereck Lively II,20,DAL,C,36,29,833,.702,.702,,.702,.630,.704,.382,.000,150,129,,129,81,122,157,0,60.5,56.9,,livelde01
300,Garrison Mathews,28,ATL,SG,47,2,830,.397,.436,.390,.562,.821,.606,.304,.848,85,80,108,104,105,105,125,201,9.9,17.3,,mathega01
301,Cam Whitmore,20,HOU,SF,51,3,827,.444,.518,.355,.525,.750,.549,.179,.454,95,95,99,97,96,95,74,108,-14.7,-23.9,,whitmca01
302,Ryan Rollins,22,MIL,PG,56,19,820,.487,.550,.408,.577,.800,.600,.166,.443,104,101,113,106,103,104,68,105,18.7,13.9,,rolliry01
303,Marcus Sasser,24,DET,PG,57,1,811,.463,.549,.382,.561,.843,.589,.172,.514,99,101,106,103,108,102,71,122,10.5,8.0,,sassema01
304,Steven Adams,31,HOU,C,58,3,794,.545,.552,.000,.545,.462,.541,.557,.012,117,101,0,100,59,94,229,3,0.6,-14.6,,adamsst01
305,Aaron Holiday,28,HOU,PG,62,3,792,.437,.517,.398,.571,.829,.594,.153,.675,93,95,110,105,106,103,63,160,14.9,10.4,,holidaa01
306,Karlo Matković,23,NOP,PF,42,7,791,.574,.675,.318,.619,.773,.639,.187,.281,123,124,88,114,99,111,77,67,35.8,31.9,,matkoka01
307,Caleb Houstan,22,ORL,SF,58,6,788,.421,.533,.400,.589,.882,.605,.089,.842,90,98,111,109,113,105,37,200,17.6,11.4,,houstca01
308,Vasilije Micić,31,2TM,PG,41,16,785,.348,.338,.360,.430,.829,.462,.150,.458,74,62,100,79,106,80,62,109,-61.5,-66.4,,micicva01
308,Vasilije Micić,31,CHO,PG,36,16,764,.348,.338,.360,.430,.829,.462,.150,.458,74,62,100,79,106,80,62,109,-61.5,-66.4,,micicva01
308,Vasilije Micić,31,PHO,PG,5,0,21,,,,,,,,,,,,,,,,,0.0,0.0,,micicva01
309,Jaylin Williams,22,OKC,PF,47,9,784,.439,.529,.399,.577,.767,.594,.136,.692,94,97,111,106,98,103,56,164,15.0,8.1,,willija07
