,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,YearSalary
181,Lauri Markkanen,27,UTA,PF,47,47,1476,0.423,0.525,0.346,0.521,0.876,0.571,0.264,0.57,91.0,96.0,96.0,96.0,112.0,99.0,109.0,135.0,-30.3,-8.5,42176400.0
182,Luke Kennard,28,MEM,SG,65,11,1472,0.478,0.547,0.433,0.609,0.895,0.631,0.132,0.606,102.0,100.0,120.0,112.0,115.0,110.0,54.0,144.0,56.9,50.4,9250000.0
183,Jamal Shead,22,TOR,PG,75,11,1467,0.405,0.47,0.323,0.476,0.768,0.499,0.137,0.442,87.0,86.0,90.0,88.0,98.0,87.0,56.0,105.0,-67.4,-82.8,1862265.0
184,Aaron Gordon,29,DEN,PF,51,42,1447,0.531,0.582,0.436,0.607,0.81,0.65,0.36,0.346,114.0,107.0,121.0,112.0,104.0,113.0,148.0,82.0,63.2,84.5,22841455.0
185,Isaiah Stewart,23,DET,C,72,4,1434,0.559,0.607,0.321,0.586,0.759,0.616,0.276,0.168,120.0,111.0,89.0,108.0,97.0,107.0,114.0,40.0,26.9,27.9,15000000.0
186,Brice Sensabaugh,21,UTA,SF,71,15,1432,0.459,0.52,0.422,0.59,0.89,0.612,0.122,0.621,98.0,95.0,117.0,109.0,114.0,106.0,50.0,147.0,56.4,44.7,2571480.0
187,Goga Bitadze,25,ORL,C,70,42,1430,0.611,0.656,0.107,0.615,0.639,0.631,0.392,0.083,131.0,120.0,30.0,113.0,82.0,110.0,162.0,20.0,48.8,43.9,9057971.0
188,Kel'el Ware,20,MIA,C,64,36,1422,0.554,0.629,0.315,0.592,0.687,0.603,0.144,0.239,119.0,115.0,88.0,109.0,88.0,105.0,59.0,57.0,45.0,26.3,4231800.0
189,Tari Eason,23,HOU,PF,57,16,1420,0.487,0.557,0.342,0.543,0.76,0.567,0.186,0.329,104.0,102.0,95.0,100.0,97.0,98.0,77.0,78.0,-0.1,-10.9,3695160.0
190,Zach Edey,22,MEM,C,66,55,1416,0.58,0.612,0.346,0.6,0.709,0.624,0.293,0.12,124.0,112.0,96.0,111.0,91.0,108.0,121.0,29.0,49.7,46.6,5756880.0
