,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,YearSalary
0,Mikal Bridges,28,NYK,SF,82,82,3036,0.5,0.594,0.354,0.57,0.814,0.585,0.1,0.391,107.0,109.0,98.0,105.0,104.0,101.0,41.0,93.0,63.1,20.9,23300000.0
1,Josh Hart,29,NYK,SG,77,77,2897,0.525,0.618,0.333,0.579,0.776,0.611,0.266,0.327,112.0,113.0,93.0,107.0,99.0,106.0,110.0,78.0,55.7,59.7,18144000.0
2,Anthony Edwards,23,MIN,SG,79,79,2871,0.447,0.501,0.395,0.547,0.837,0.595,0.308,0.503,96.0,92.0,110.0,101.0,107.0,103.0,127.0,119.0,11.2,67.9,42176400.0
3,Devin Booker,28,PHO,SG,75,75,2795,0.461,0.542,0.332,0.525,0.894,0.589,0.34,0.388,99.0,99.0,92.0,97.0,115.0,102.0,140.0,92.0,-51.3,41.7,49205800.0
4,James Harden,35,LAC,PG,79,79,2789,0.41,0.472,0.352,0.501,0.874,0.582,0.446,0.516,88.0,87.0,98.0,92.0,112.0,101.0,184.0,122.0,-109.5,16.6,33653846.0
5,DeMar DeRozan,35,SAC,SF,77,77,2768,0.477,0.513,0.328,0.509,0.857,0.569,0.337,0.196,102.0,94.0,91.0,94.0,110.0,99.0,139.0,46.0,-88.7,-20.9,23400000.0
6,Trae Young,26,ATL,PG,76,76,2739,0.411,0.474,0.34,0.491,0.875,0.567,0.408,0.467,88.0,87.0,94.0,90.0,112.0,98.0,168.0,111.0,-144.5,-29.1,43031940.0
7,Tyler Herro,25,MIA,SG,77,77,2725,0.472,0.565,0.375,0.563,0.878,0.605,0.237,0.486,101.0,104.0,104.0,104.0,113.0,105.0,98.0,115.0,56.3,86.2,29000000.0
8,OG Anunoby,27,NYK,PF,74,74,2706,0.476,0.561,0.372,0.559,0.81,0.591,0.22,0.448,102.0,103.0,103.0,103.0,104.0,103.0,91.0,106.0,33.5,33.9,36637932.0
9,Jalen Green,22,HOU,SG,82,82,2697,0.423,0.482,0.354,0.505,0.813,0.544,0.234,0.46,91.0,88.0,98.0,93.0,104.0,94.0,96.0,109.0,-110.8,-103.3,12483048.0
10,Christian Braun,23,DEN,SG,79,77,2675,0.58,0.648,0.397,0.634,0.827,0.665,0.261,0.273,124.0,119.0,110.0,117.0,106.0,115.0,107.0,65.0,149.3,163.4,3089640.0
11,Bam Adebayo,27,MIA,C,78,78,2674,0.485,0.517,0.357,0.521,0.765,0.561,0.295,0.199,104.0,95.0,99.0,96.0,98.0,97.0,121.0,47.0,-49.9,-38.9,34848340.0
12,Ivica Zubac,27,LAC,C,80,80,2624,0.628,0.628,0.0,0.628,0.661,0.641,0.251,0.0,135.0,115.0,0.0,116.0,85.0,111.0,103.0,0.0,160.9,134.8,11743210.0
13,Jayson Tatum,26,BOS,PF,72,72,2624,0.452,0.559,0.343,0.537,0.814,0.582,0.3,0.497,97.0,103.0,95.0,99.0,104.0,101.0,124.0,118.0,-17.2,20.7,34848340.0
14,Jaden McDaniels,24,MIN,PF,82,82,2614,0.477,0.561,0.33,0.537,0.813,0.562,0.153,0.363,102.0,103.0,92.0,99.0,104.0,97.0,63.0,86.0,-9.8,-26.0,23017242.0
15,Keegan Murray,24,SAC,PF,76,76,2610,0.444,0.566,0.343,0.538,0.833,0.553,0.088,0.548,95.0,104.0,95.0,99.0,107.0,96.0,36.0,130.0,-8.6,-39.5,8809560.0
16,Zach LaVine,29,2TM,SF,74,74,2602,0.511,0.562,0.446,0.609,0.825,0.639,0.233,0.438,109.0,103.0,124.0,112.0,106.0,111.0,96.0,104.0,160.6,170.1,44531940.0
17,Shai Gilgeous-Alexander,26,OKC,PG,76,76,2598,0.519,0.571,0.375,0.569,0.898,0.637,0.404,0.263,111.0,105.0,104.0,105.0,115.0,111.0,166.0,62.0,84.4,236.4,35859950.0
18,Michael Porter Jr.,26,DEN,SF,77,77,2593,0.504,0.599,0.395,0.596,0.768,0.617,0.185,0.467,108.0,110.0,110.0,110.0,98.0,107.0,76.0,111.0,110.7,91.9,35859950.0
19,Derrick White,30,BOS,SG,76,76,2574,0.442,0.593,0.384,0.58,0.839,0.606,0.168,0.721,95.0,109.0,106.0,107.0,108.0,105.0,69.0,171.0,71.4,61.2,20071429.0
20,Dyson Daniels,21,ATL,SG,76,76,2571,0.493,0.545,0.34,0.536,0.593,0.545,0.152,0.255,106.0,100.0,95.0,99.0,76.0,95.0,62.0,60.0,-12.5,-61.6,6059520.0
21,Nikola Jokić,29,DEN,C,70,70,2571,0.576,0.627,0.417,0.627,0.8,0.663,0.331,0.243,123.0,115.0,116.0,115.0,103.0,115.0,136.0,58.0,228.5,270.5,51415938.0
22,Austin Reaves,26,LAL,SG,73,73,2550,0.46,0.547,0.377,0.556,0.877,0.616,0.353,0.512,98.0,100.0,105.0,102.0,112.0,107.0,145.0,122.0,27.7,94.4,12976362.0
23,Toumani Camara,24,POR,PF,78,78,2548,0.458,0.542,0.375,0.552,0.722,0.572,0.176,0.503,98.0,99.0,104.0,102.0,93.0,99.0,72.0,119.0,13.3,-7.0,1891857.0
24,Pascal Siakam,30,IND,PF,78,78,2548,0.519,0.568,0.389,0.572,0.734,0.599,0.261,0.274,111.0,104.0,108.0,105.0,94.0,104.0,107.0,65.0,68.2,59.7,42176400.0
25,Brook Lopez,36,MIL,C,80,80,2546,0.509,0.636,0.373,0.599,0.826,0.624,0.178,0.482,109.0,117.0,103.0,110.0,106.0,108.0,73.0,114.0,86.3,79.1,23000000.0
26,Karl-Anthony Towns,29,NYK,C,72,72,2517,0.526,0.567,0.42,0.584,0.829,0.63,0.337,0.278,113.0,104.0,117.0,108.0,106.0,109.0,139.0,66.0,100.3,151.5,49205800.0
27,Bub Carrington,19,WAS,PG,82,57,2458,0.401,0.475,0.339,0.493,0.812,0.514,0.114,0.544,86.0,87.0,94.0,91.0,104.0,89.0,47.0,129.0,-74.4,-98.1,4454880.0
28,Cade Cunningham,23,DET,PG,70,70,2452,0.469,0.515,0.356,0.521,0.846,0.565,0.254,0.287,100.0,94.0,99.0,96.0,108.0,98.0,105.0,68.0,-65.5,-36.6,13940809.0
29,Tyrese Haliburton,24,IND,PG,73,73,2451,0.473,0.581,0.388,0.582,0.851,0.616,0.221,0.559,101.0,107.0,108.0,107.0,109.0,107.0,91.0,133.0,77.3,87.1,42176400.0
30,Coby White,24,CHI,SG,74,73,2450,0.453,0.544,0.37,0.55,0.902,0.601,0.274,0.521,97.0,100.0,103.0,101.0,116.0,104.0,113.0,124.0,14.4,61.5,12000000.0
31,LeBron James,40,LAL,SF,70,70,2444,0.513,0.574,0.376,0.571,0.782,0.604,0.261,0.312,110.0,105.0,104.0,105.0,100.0,105.0,107.0,74.0,71.6,78.6,48728845.0
32,Domantas Sabonis,28,SAC,C,70,70,2429,0.59,0.627,0.417,0.627,0.754,0.655,0.324,0.175,126.0,115.0,116.0,115.0,97.0,114.0,133.0,41.0,149.1,161.4,40500000.0
33,Jamal Murray,27,DEN,PG,67,67,2418,0.474,0.518,0.393,0.543,0.886,0.584,0.219,0.354,101.0,95.0,109.0,100.0,114.0,101.0,90.0,84.0,0.4,19.4,36016200.0
34,Alperen Şengün,22,HOU,C,76,76,2395,0.496,0.519,0.233,0.505,0.692,0.545,0.374,0.079,106.0,95.0,65.0,93.0,89.0,95.0,154.0,19.0,-86.5,-83.2,5424654.0
35,Dillon Brooks,29,HOU,SF,75,75,2388,0.429,0.465,0.397,0.533,0.818,0.555,0.135,0.524,92.0,85.0,110.0,98.0,105.0,96.0,56.0,124.0,-18.1,-39.7,22255493.0
36,Rudy Gobert,32,MIN,C,72,72,2388,0.669,0.669,0.0,0.669,0.674,0.687,0.535,0.0,143.0,123.0,0.0,123.0,86.0,119.0,220.0,0.0,128.1,139.9,43827586.0
37,Tobias Harris,32,DET,PF,73,73,2305,0.477,0.542,0.345,0.534,0.861,0.571,0.206,0.328,102.0,99.0,96.0,98.0,110.0,99.0,85.0,78.0,-15.3,-9.8,25365854.0
38,Darius Garland,25,CLE,PG,75,75,2301,0.472,0.53,0.401,0.562,0.878,0.6,0.217,0.451,101.0,97.0,111.0,104.0,113.0,104.0,89.0,107.0,44.9,61.8,36725670.0
39,Jalen Brunson,28,NYK,PG,65,65,2301,0.488,0.539,0.383,0.551,0.821,0.605,0.373,0.331,104.0,99.0,106.0,101.0,105.0,105.0,154.0,79.0,18.6,80.0,24960001.0
40,Jarrett Allen,26,CLE,C,82,82,2296,0.706,0.712,0.0,0.706,0.718,0.724,0.433,0.008,151.0,131.0,0.0,130.0,92.0,126.0,178.0,2.0,208.9,225.0,20000000.0
41,Chris Paul,39,SAS,PG,82,82,2292,0.427,0.514,0.377,0.547,0.924,0.58,0.158,0.636,91.0,94.0,105.0,101.0,118.0,101.0,65.0,151.0,4.8,4.5,10460000.0
42,Anfernee Simons,25,POR,SG,70,70,2292,0.426,0.496,0.363,0.521,0.902,0.557,0.172,0.527,91.0,91.0,101.0,96.0,116.0,97.0,71.0,125.0,-48.9,-46.8,25892857.0
43,Giannis Antetokounmpo,30,MIL,PF,67,67,2289,0.601,0.62,0.222,0.607,0.617,0.625,0.536,0.048,129.0,114.0,62.0,112.0,79.0,108.0,221.0,11.0,167.4,157.5,48787676.0
44,Malik Beasley,28,DET,SG,82,18,2283,0.43,0.466,0.416,0.579,0.679,0.59,0.131,0.715,92.0,85.0,116.0,107.0,87.0,102.0,54.0,170.0,77.7,30.8,6000000.0
45,Kentavious Caldwell-Pope,31,ORL,SG,77,77,2279,0.439,0.589,0.342,0.543,0.863,0.574,0.175,0.607,94.0,108.0,95.0,100.0,111.0,100.0,72.0,144.0,0.1,-2.1,22757000.0
46,Nikola Vučević,34,CHI,C,73,72,2278,0.53,0.587,0.402,0.592,0.805,0.611,0.144,0.309,113.0,108.0,112.0,109.0,103.0,106.0,59.0,73.0,101.6,77.3,20000000.0
47,Payton Pritchard,27,BOS,PG,80,3,2271,0.472,0.642,0.407,0.62,0.845,0.633,0.097,0.723,101.0,118.0,113.0,114.0,108.0,110.0,40.0,172.0,132.4,103.4,6696429.0
48,Kevin Durant,36,PHO,PF,62,62,2265,0.527,0.574,0.43,0.598,0.839,0.642,0.321,0.331,113.0,105.0,119.0,110.0,108.0,111.0,132.0,79.0,123.2,168.7,51179021.0
49,Shaedon Sharpe,21,POR,SG,72,52,2252,0.452,0.557,0.311,0.519,0.785,0.551,0.219,0.428,97.0,102.0,86.0,95.0,101.0,96.0,90.0,102.0,-54.1,-59.9,6614160.0
50,Stephen Curry,36,GSW,PG,70,70,2252,0.448,0.534,0.397,0.572,0.933,0.618,0.238,0.623,96.0,98.0,110.0,105.0,120.0,107.0,98.0,148.0,72.6,116.7,55761216.0
51,De'Aaron Fox,27,2TM,PG,62,62,2241,0.463,0.538,0.31,0.514,0.827,0.56,0.273,0.328,99.0,99.0,86.0,95.0,106.0,97.0,113.0,78.0,-67.2,-42.5,34848340.0
52,Jalen Williams,23,OKC,SG,69,69,2237,0.484,0.533,0.365,0.537,0.789,0.573,0.256,0.291,104.0,98.0,101.0,99.0,101.0,99.0,105.0,69.0,-14.6,-7.6,4775760.0
53,Donovan Mitchell,28,CLE,SG,71,71,2232,0.443,0.512,0.368,0.531,0.823,0.575,0.274,0.48,95.0,94.0,102.0,98.0,106.0,100.0,113.0,114.0,-30.7,-3.7,35410310.0
54,Harrison Barnes,32,SAS,PF,82,82,2230,0.508,0.591,0.433,0.622,0.809,0.656,0.291,0.527,109.0,108.0,120.0,115.0,104.0,114.0,120.0,125.0,108.2,123.0,18000000.0
55,Julius Randle,30,MIN,PF,69,69,2226,0.485,0.555,0.344,0.542,0.806,0.593,0.357,0.334,104.0,102.0,95.0,100.0,103.0,103.0,147.0,79.0,-1.9,36.1,33073920.0
56,Amen Thompson,22,HOU,SF,69,42,2225,0.557,0.599,0.275,0.575,0.684,0.602,0.354,0.131,119.0,110.0,76.0,106.0,88.0,104.0,146.0,31.0,44.0,41.6,9249960.0
57,Jaren Jackson Jr.,25,MEM,C,74,74,2207,0.488,0.541,0.375,0.548,0.781,0.591,0.328,0.321,104.0,99.0,104.0,101.0,100.0,103.0,135.0,76.0,12.5,41.4,25257798.0
58,Desmond Bane,26,MEM,SG,69,68,2205,0.484,0.548,0.392,0.565,0.894,0.6,0.194,0.411,104.0,101.0,109.0,104.0,115.0,104.0,80.0,97.0,44.3,53.5,34005250.0
59,Naz Reid,25,MIN,C,80,17,2200,0.462,0.544,0.379,0.556,0.776,0.577,0.155,0.501,99.0,100.0,105.0,102.0,100.0,100.0,64.0,119.0,24.5,1.8,13986432.0
60,Tyus Jones,28,PHO,PG,81,58,2174,0.448,0.496,0.414,0.57,0.895,0.585,0.083,0.587,96.0,91.0,115.0,105.0,115.0,102.0,34.0,139.0,36.2,13.0,2087519.0
61,Myles Turner,28,IND,C,72,72,2174,0.481,0.561,0.396,0.577,0.773,0.612,0.293,0.486,103.0,103.0,110.0,106.0,99.0,106.0,121.0,115.0,55.1,64.7,19928500.0
62,Evan Mobley,23,CLE,PF,71,71,2167,0.557,0.621,0.37,0.604,0.725,0.633,0.337,0.254,119.0,114.0,103.0,111.0,93.0,110.0,139.0,60.0,111.0,117.3,11227657.0
63,Taurean Prince,30,MIL,SF,80,73,2166,0.457,0.492,0.439,0.6,0.813,0.613,0.093,0.652,98.0,90.0,122.0,111.0,104.0,106.0,38.0,155.0,58.7,39.3,2087519.0
64,Stephon Castle,20,SAS,PG,81,47,2162,0.428,0.501,0.285,0.476,0.724,0.522,0.348,0.337,92.0,92.0,79.0,88.0,93.0,91.0,143.0,80.0,-132.1,-123.0,9105120.0
65,Deni Avdija,24,POR,SF,72,54,2161,0.476,0.552,0.365,0.55,0.78,0.605,0.441,0.405,102.0,101.0,101.0,101.0,100.0,105.0,181.0,96.0,12.3,57.8,15625000.0
66,Jaylen Brown,28,BOS,SF,63,63,2158,0.463,0.529,0.324,0.515,0.764,0.555,0.288,0.32,99.0,97.0,90.0,95.0,98.0,96.0,119.0,76.0,-62.3,-53.6,49205800.0
67,Tim Hardaway Jr.,32,DET,SG,77,77,2153,0.406,0.484,0.368,0.529,0.855,0.567,0.213,0.672,87.0,89.0,102.0,97.0,110.0,98.0,88.0,160.0,-18.6,-13.1,16193183.0
68,Bennedict Mathurin,22,IND,SF,72,49,2149,0.458,0.519,0.34,0.516,0.831,0.579,0.389,0.338,98.0,95.0,94.0,95.0,107.0,100.0,160.0,80.0,-46.5,4.7,7245720.0
69,Spencer Dinwiddie,31,DAL,PG,79,30,2136,0.416,0.492,0.334,0.496,0.802,0.553,0.356,0.478,89.0,90.0,93.0,91.0,103.0,96.0,147.0,113.0,-63.7,-37.1,2087519.0
70,Scottie Barnes,23,TOR,PF,65,65,2134,0.446,0.508,0.271,0.482,0.755,0.523,0.284,0.263,95.0,93.0,75.0,89.0,97.0,91.0,117.0,63.0,-130.6,-126.1,10130980.0
71,Max Christie,21,2TM,SG,78,36,2127,0.427,0.496,0.366,0.525,0.855,0.57,0.258,0.532,91.0,91.0,102.0,97.0,110.0,99.0,106.0,126.0,-21.8,-8.0,7142857.0
72,Josh Giddey,22,CHI,PG,70,69,2117,0.465,0.512,0.378,0.531,0.781,0.57,0.281,0.348,100.0,94.0,105.0,98.0,100.0,99.0,116.0,83.0,-19.7,-11.2,8352367.0
73,Fred VanVleet,30,HOU,PG,60,60,2111,0.378,0.43,0.345,0.483,0.81,0.515,0.181,0.607,81.0,79.0,96.0,89.0,104.0,89.0,74.0,144.0,-91.4,-100.1,42846615.0
74,Keyonte George,21,UTA,PG,67,35,2109,0.391,0.449,0.343,0.485,0.818,0.539,0.31,0.552,84.0,82.0,95.0,89.0,105.0,93.0,128.0,131.0,-106.2,-78.5,4084200.0
75,Dennis Schröder,31,3TM,PG,75,49,2105,0.406,0.458,0.342,0.483,0.838,0.531,0.261,0.449,87.0,84.0,95.0,89.0,107.0,92.0,108.0,107.0,-99.2,-82.5,13025250.0
76,Damian Lillard,34,MIL,PG,58,58,2093,0.448,0.528,0.376,0.547,0.921,0.621,0.396,0.528,96.0,97.0,104.0,101.0,118.0,108.0,163.0,125.0,7.6,104.6,48787676.0
77,Russell Westbrook,36,DEN,PG,75,36,2092,0.449,0.517,0.323,0.505,0.661,0.532,0.28,0.35,96.0,95.0,90.0,93.0,85.0,92.0,115.0,83.0,-62.6,-81.8,5631296.0
78,Kelly Oubre Jr.,29,PHI,SF,60,57,2078,0.47,0.555,0.293,0.518,0.751,0.551,0.25,0.327,101.0,102.0,81.0,95.0,96.0,96.0,103.0,78.0,-37.8,-41.7,7983000.0
79,Nickeil Alexander-Walker,26,MIN,SG,82,10,2073,0.438,0.524,0.381,0.553,0.78,0.579,0.192,0.601,94.0,96.0,106.0,102.0,100.0,100.0,79.0,143.0,11.9,3.3,4312500.0
80,Luguentz Dort,25,OKC,SF,71,71,2073,0.435,0.489,0.412,0.578,0.717,0.586,0.078,0.696,93.0,90.0,114.0,107.0,92.0,102.0,32.0,165.0,41.9,12.3,16500000.0
81,Onyeka Okongwu,24,ATL,C,74,40,2064,0.567,0.634,0.324,0.602,0.759,0.634,0.316,0.216,121.0,116.0,90.0,111.0,97.0,110.0,130.0,51.0,81.1,90.3,14000000.0
82,Malik Monk,26,SAC,SG,65,45,2054,0.439,0.534,0.325,0.513,0.865,0.549,0.19,0.456,94.0,98.0,90.0,94.0,111.0,95.0,78.0,108.0,-56.9,-55.3,17405203.0
83,Jaylen Wells,21,MEM,SG,79,74,2043,0.425,0.525,0.352,0.527,0.822,0.56,0.2,0.58,91.0,96.0,98.0,97.0,105.0,97.0,82.0,138.0,-22.2,-24.5,1157153.0
84,Jalen Duren,21,DET,C,78,78,2034,0.692,0.692,0.0,0.692,0.669,0.703,0.443,0.0,148.0,127.0,0.0,127.0,86.0,122.0,183.0,0.0,163.0,166.1,4536840.0
85,Jalen Wilson,24,BRK,PF,79,22,2031,0.397,0.481,0.337,0.495,0.818,0.541,0.266,0.584,85.0,88.0,94.0,91.0,105.0,94.0,110.0,139.0,-59.4,-49.1,1891857.0
86,Miles Bridges,26,CHO,PF,64,64,2029,0.431,0.513,0.313,0.495,0.87,0.541,0.233,0.413,92.0,94.0,87.0,91.0,112.0,94.0,96.0,98.0,-103.8,-83.7,27173913.0
87,Davion Mitchell,26,2TM,PG,74,37,2027,0.468,0.525,0.398,0.557,0.69,0.573,0.176,0.443,100.0,96.0,111.0,103.0,89.0,99.0,73.0,105.0,13.0,-3.1,6451077.0
88,Franz Wagner,23,ORL,SF,60,60,2023,0.463,0.535,0.295,0.507,0.871,0.558,0.268,0.303,99.0,98.0,82.0,93.0,112.0,97.0,110.0,72.0,-83.0,-46.6,7007092.0
89,Quentin Grimes,24,2TM,SG,75,37,2013,0.467,0.552,0.385,0.565,0.757,0.595,0.26,0.512,100.0,101.0,107.0,104.0,97.0,103.0,107.0,121.0,36.2,35.1,4296682.0
90,Jordan Poole,25,WAS,SG,68,68,2001,0.432,0.51,0.378,0.544,0.883,0.591,0.259,0.588,93.0,94.0,105.0,100.0,113.0,103.0,107.0,140.0,1.0,34.0,29651786.0
91,Draymond Green,34,GSW,PF,68,66,1983,0.424,0.517,0.325,0.503,0.687,0.534,0.289,0.483,91.0,95.0,90.0,93.0,88.0,93.0,119.0,115.0,-40.8,-48.1,24107143.0
92,Devin Vassell,24,SAS,SG,64,53,1983,0.443,0.513,0.368,0.532,0.792,0.553,0.135,0.483,95.0,94.0,102.0,98.0,102.0,96.0,56.0,115.0,-19.6,-44.3,29347826.0
93,Klay Thompson,34,DAL,SF,72,72,1965,0.412,0.448,0.391,0.535,0.905,0.552,0.084,0.631,88.0,82.0,108.0,98.0,116.0,96.0,35.0,150.0,-14.5,-43.2,15873016.0
94,Tyrese Maxey,24,PHI,PG,52,52,1960,0.437,0.515,0.337,0.511,0.879,0.562,0.265,0.438,94.0,95.0,94.0,94.0,113.0,98.0,109.0,104.0,-70.0,-34.8,35147000.0
95,Norman Powell,31,LAC,SG,60,60,1958,0.484,0.538,0.418,0.578,0.804,0.615,0.28,0.453,104.0,99.0,116.0,106.0,103.0,107.0,115.0,108.0,66.6,82.6,19241379.0
96,Yves Missi,20,NOP,C,73,67,1956,0.547,0.548,0.0,0.547,0.623,0.572,0.415,0.002,117.0,101.0,0.0,101.0,80.0,99.0,171.0,0.0,3.6,-5.4,3193200.0
97,Keon Ellis,25,SAC,SG,80,28,1948,0.489,0.615,0.433,0.639,0.849,0.664,0.185,0.692,105.0,113.0,120.0,118.0,109.0,115.0,76.0,164.0,89.0,87.7,2120693.0
98,Bilal Coulibaly,20,WAS,SF,59,59,1948,0.421,0.5,0.281,0.472,0.746,0.515,0.296,0.359,90.0,92.0,78.0,87.0,96.0,89.0,122.0,85.0,-88.7,-85.9,6945240.0
99,Kyle Kuzma,29,2TM,PF,65,62,1936,0.436,0.512,0.307,0.493,0.634,0.514,0.238,0.369,93.0,94.0,85.0,91.0,81.0,89.0,98.0,88.0,-85.1,-115.6,24456061.0
100,Julian Champagnie,23,SAS,SF,82,29,1932,0.415,0.53,0.371,0.549,0.904,0.577,0.141,0.722,89.0,97.0,103.0,101.0,116.0,100.0,58.0,171.0,7.7,1.0,3000000.0
101,Keon Johnson,22,BRK,SG,79,56,1925,0.389,0.468,0.314,0.47,0.77,0.499,0.178,0.515,83.0,86.0,87.0,87.0,99.0,87.0,73.0,122.0,-114.1,-129.2,2162606.0
102,Naji Marshall,27,DAL,SF,69,31,1919,0.508,0.611,0.275,0.551,0.813,0.584,0.225,0.306,109.0,112.0,76.0,101.0,104.0,101.0,93.0,73.0,10.7,12.4,8571429.0
103,Jrue Holiday,34,BOS,PG,62,62,1896,0.443,0.547,0.353,0.538,0.909,0.565,0.134,0.534,95.0,100.0,98.0,99.0,117.0,98.0,55.0,127.0,-6.4,-13.4,30000000.0
104,Guerschon Yabusele,29,PHI,C,70,43,1895,0.501,0.616,0.38,0.593,0.725,0.616,0.245,0.487,107.0,113.0,105.0,109.0,93.0,107.0,101.0,116.0,56.5,49.2,2087519.0
105,Gary Trent Jr.,26,MIL,SG,74,9,1893,0.431,0.46,0.416,0.568,0.848,0.591,0.14,0.659,92.0,84.0,115.0,105.0,109.0,103.0,58.0,156.0,32.4,20.2,2087519.0
106,Anthony Black,21,ORL,PG,78,10,1887,0.423,0.471,0.318,0.473,0.761,0.521,0.318,0.315,90.0,86.0,88.0,87.0,98.0,90.0,131.0,75.0,-87.4,-78.4,7607760.0
107,Josh Green,24,CHO,SG,68,67,1887,0.428,0.48,0.391,0.543,0.681,0.559,0.171,0.589,92.0,88.0,109.0,100.0,87.0,97.0,70.0,140.0,-0.3,-15.7,12654321.0
108,Nic Claxton,25,BRK,C,70,62,1882,0.563,0.576,0.238,0.568,0.513,0.569,0.271,0.037,121.0,106.0,66.0,105.0,66.0,99.0,112.0,9.0,28.1,-8.6,27556817.0
109,Andrew Nembhard,25,IND,SG,65,65,1881,0.458,0.538,0.291,0.506,0.794,0.545,0.252,0.325,98.0,99.0,81.0,93.0,102.0,95.0,104.0,77.0,-40.4,-37.1,2019699.0
110,Cason Wallace,21,OKC,SG,68,43,1876,0.474,0.562,0.356,0.55,0.811,0.562,0.076,0.425,102.0,103.0,99.0,101.0,104.0,98.0,31.0,101.0,6.9,-14.3,5555880.0
111,Derrick Jones Jr.,27,LAC,SF,77,55,1873,0.526,0.627,0.356,0.593,0.703,0.609,0.2,0.372,113.0,115.0,99.0,109.0,90.0,106.0,82.0,88.0,58.3,42.4,9523810.0
112,Rui Hachimura,26,LAL,PF,59,57,1869,0.509,0.581,0.413,0.597,0.77,0.619,0.196,0.429,109.0,107.0,115.0,110.0,99.0,107.0,81.0,102.0,62.4,53.9,17000000.0
113,RJ Barrett,24,TOR,SF,58,58,1869,0.468,0.522,0.35,0.523,0.63,0.547,0.317,0.312,100.0,96.0,97.0,96.0,81.0,95.0,130.0,74.0,-39.6,-66.3,25794643.0
114,Buddy Hield,32,GSW,SG,82,22,1863,0.417,0.527,0.37,0.546,0.828,0.56,0.081,0.698,89.0,97.0,103.0,101.0,106.0,97.0,34.0,166.0,5.3,-26.2,8780488.0
115,Trey Murphy III,24,NOP,SF,53,51,1854,0.454,0.556,0.361,0.548,0.887,0.598,0.274,0.522,97.0,102.0,100.0,101.0,114.0,104.0,113.0,124.0,8.7,40.5,5159854.0
116,Zaccharie Risacher,19,ATL,SF,75,73,1843,0.458,0.54,0.355,0.537,0.711,0.558,0.191,0.442,98.0,99.0,98.0,99.0,91.0,97.0,79.0,105.0,-10.1,-31.3,12569040.0
117,Andrew Wiggins,29,2TM,SF,60,60,1842,0.448,0.501,0.374,0.526,0.763,0.566,0.306,0.415,96.0,92.0,104.0,97.0,98.0,98.0,126.0,98.0,-29.2,-19.2,26276786.0
118,Isaiah Collier,20,UTA,PG,71,46,1839,0.422,0.497,0.249,0.459,0.682,0.494,0.277,0.305,90.0,91.0,69.0,85.0,87.0,86.0,114.0,72.0,-92.8,-102.7,2512680.0
119,Keldon Johnson,25,SAS,SF,77,0,1838,0.482,0.573,0.318,0.538,0.773,0.572,0.252,0.356,103.0,105.0,88.0,99.0,99.0,99.0,104.0,84.0,-7.3,-6.7,19000000.0
120,Royce O'Neale,31,PHO,SF,75,22,1837,0.423,0.481,0.406,0.58,0.731,0.585,0.046,0.774,90.0,88.0,113.0,107.0,94.0,101.0,19.0,184.0,41.9,10.0,9375000.0
121,P.J. Washington,26,DAL,PF,57,56,1835,0.453,0.493,0.381,0.521,0.722,0.556,0.298,0.359,97.0,90.0,106.0,96.0,93.0,96.0,123.0,85.0,-29.3,-30.7,15500000.0
122,CJ McCollum,33,NOP,PG,56,56,1832,0.444,0.505,0.373,0.53,0.717,0.55,0.173,0.459,95.0,93.0,103.0,98.0,92.0,95.0,71.0,109.0,-27.1,-57.1,33333333.0
